Date,Mkt-RF,SMB,HML,RF,Mom,Food,Beer,Smoke,Games,Books,Hshld,Clths,Hlth,Chems,Txtls,Cnstr,Steel,FabPr,ElcEq,Autos,Carry,Mines,Coal,Oil,Util,Telcm,Servs,BusEq,Paper,Trans,Whlsl,Rtail,Meals,Fin,Other
192701,-0.1,-0.09,4.72,0.25,0.36,-0.7,0.57,-0.33,2.46,9.67,4.07,-1.06,4.91,0.24,-2.9,-1.74,-0.36,1.17,-1.02,-0.8,-0.58,4.17,-3.06,1.59,-1.77,1.88,2.08,-1.45,-2.6,1.44,-17.93,-3.34,1.53,-2.48,-4.13
192702,4.32,0.31,3.4,0.26,-1.67,4.29,12.83,1.58,1.43,1.41,4.59,2.77,1.65,9.62,8.06,4.24,3.68,7.87,4.3,9.55,4.58,5.2,5.64,1.08,4.6,3.97,8.9,4.85,5.21,5.2,3.49,4.48,6.81,2.77,0.3
192703,0.33,-1.77,-2.42,0.3,2.97,1.98,-13.56,5.55,0.57,-0.28,-0.08,0.9,0.88,6.28,-5.85,3.49,1.43,-2.25,0.4,1.55,-1.76,4.44,5.45,-6.91,0.44,5.56,-7.8,4.3,-8.39,1.06,-20.47,3.05,-2.44,1.41,2.28
192704,0.42,0.3,1.03,0.25,4.53,2.6,2.85,4.09,-3.34,-0.96,1.44,5.95,3.25,2.97,0.68,-1.04,-0.28,1.78,6.29,2.92,-0.8,3.02,0.95,-5.64,1.65,-2.08,3.44,3.1,4.43,0.77,-10.75,2.09,6.02,3.76,4.71
192705,5.36,0.67,3.41,0.3,3.41,6.14,11.62,11.87,-0.5,3.13,10.6,3.38,4.01,3.99,14.75,7.73,3.15,8.82,8.23,5.52,10.78,0.26,3.19,4.98,9.31,3.35,18.33,5.1,5.66,6.69,-4.01,0.49,4.69,10.25,1.4
192706,-2.27,0.81,-2.15,0.26,0.61,-2.17,10.05,-2.24,-7.05,12.54,-3.01,1.17,0.45,-1.8,2.62,-4.59,-3.36,-2.28,3.47,-3.34,-4.06,-1.93,-3.35,-3.14,-3.64,-2.14,-6.8,2.74,4.36,-1.86,-4.18,0.17,1.26,0.44,-3.91
192707,7.01,-3.33,-0.55,0.3,4.05,5.08,4.59,4.41,0.78,1.78,5.52,6.02,9.84,17.68,13.94,6.32,10.36,9.61,14.29,13.75,-3.38,9.77,2.19,2.96,5.31,3.73,2.15,5.99,11.72,6.03,11.11,9.66,4.68,7.94,6.81
192708,2.54,-0.84,-4.27,0.28,1.17,2.29,-3.98,3.86,5.13,5.46,0.52,1.53,0.28,2.1,-8.52,-1.18,3.99,0.9,7,7.36,12.25,-0.39,2.43,-0.22,3.43,0.43,8.06,2.61,3.97,-1.68,-2.58,13.59,0.55,1.47,5.92
192709,4.69,-3.44,-1.08,0.21,1.55,6.13,7.01,4.7,4.17,10.04,2.54,4.67,5.65,6.03,1.73,4.53,3.73,5.3,0.44,6.34,3.54,9.6,1.46,3.5,8.29,6.53,2.15,4.17,4.63,4.31,5.6,5.11,5.94,5.95,0.43
192710,-4.44,2.04,-4.45,0.25,-1.48,-2.45,-0.8,-0.32,0.06,2.63,-1.82,9.67,5.13,-7.46,-2.5,-4.48,-7.83,-5.21,-8.14,-4.55,-6.75,-3.17,-5.33,-1.75,-4.34,-2.09,4.97,-4.65,0.74,-4.59,-21.78,-6.13,-1.75,4.47,-3.62
192711,6.66,2.54,0.03,0.21,-0.49,7.1,10.29,6.62,3.48,16.62,2.73,0.69,3.68,9.09,6.13,5.54,12.43,11.5,11.03,6.72,8.04,9.79,7.48,3.85,6.32,2.83,2.3,9.35,16.08,3.91,-1.3,11.24,3.01,7.42,11.19
192712,2.15,1.07,-0.76,0.22,3.05,3.51,12.72,1.05,2.12,3.27,10.34,-0.15,-0.46,-0.24,2.48,0.01,5.8,2.92,1.13,7.69,2.99,15.29,-3.33,1.29,2.24,1.33,-7.83,1.31,1.11,0.1,11.45,-0.15,-1.56,11.72,1.07
192801,-0.64,4.35,-1.26,0.25,-0.23,2.6,0.62,-2.57,-0.35,5.16,3.67,7.04,2.69,-1.02,-1.56,1.86,-2.4,-1.24,-1.02,-3.15,4.33,-2.8,-3.79,-1.7,5.87,0.3,0.56,1.21,2.68,-1.24,-0.95,-0.53,-1.58,0.32,-3.38
