"","Date","Mkt.RF","SMB","HML","RF","Mom","Food","Beer","Smoke","Games","Books","Hshld","Clths","Hlth","Chems","Txtls","Cnstr","Steel","FabPr","ElcEq","Autos","Carry","Mines","Coal","Oil","Util","Telcm","Servs","BusEq","Paper","Trans","Whlsl","Rtail","Meals","Fin","Other"
"Date",1,-0.0154219701011362,-0.0162857039963442,0.0117714348053365,0.561754097489324,0.0198242757809484,0.0321412131126531,-0.0107854035553263,0.0538279246628883,0.00904758593432747,0.0184403896287286,0.0233533512633578,0.01201947964685,0.0106413323832802,-0.0209218521390589,0.00723871640007436,0.0260642947659778,-0.0152564686685254,-0.00716981503458668,0.00549037108133166,-0.0295840645358875,0.0140860449319469,-0.000714756387427169,0.0529607622444483,0.0223312752420763,0.0112712161652309,0.00697636305573096,-0.00273824130168219,-0.00778217019166648,-0.00805095463255829,0.0174698147629218,0.0420117401853835,0.0214275052490884,0.0170878561803577,0.0148489461078554,-0.000398368062161034
"Mkt.RF",-0.0154219701011362,1,0.326863349565109,0.216144691068377,-0.0687229407698678,-0.338343277478529,0.835924222946592,0.707673357377563,0.584268028782634,0.830211284364742,0.830092455185472,0.816234215277831,0.780630356210538,0.804021938075155,0.883889336338007,0.823438381939885,0.913608055138847,0.867908928860578,0.92504629117076,0.904102785188249,0.843296500621474,0.832369617329997,0.70615951819932,0.490542406658932,0.772596599245675,0.761767231506828,0.755234512977897,0.495606428199305,0.842643839403014,0.869098515232606,0.858688427689112,0.796012435936996,0.858747214633431,0.753859456671103,0.915883788648216,0.842007727854199
"SMB",-0.0162857039963442,0.326863349565109,1,0.0941130256703257,-0.0596403668670103,-0.164023171631618,0.201697904570862,0.351039316255635,0.103153552441671,0.412089411173735,0.408144550219641,0.261883426225336,0.460133866130941,0.208896031194358,0.20801220590131,0.495355898226147,0.401464343523185,0.363120431465334,0.406787782594536,0.257441906060668,0.285970869340741,0.36262057874966,0.343889080302476,0.267311451286006,0.137730413443817,0.175148878928656,0.160554355438618,0.285079519194572,0.329808979281968,0.275652608346776,0.348099124554701,0.459826392474962,0.302931101101956,0.368636549700243,0.282585618072045,0.423908353992163
"HML",0.0117714348053365,0.216144691068377,0.0941130256703257,1,0.0121146727195214,-0.400634816026086,0.21513164821266,0.214981922431184,0.171808846969415,0.250386910086269,0.250607946251863,0.107373306412039,0.246719130464442,0.0643934166584022,0.192392215049118,0.347475525017188,0.247212497696888,0.343722906078812,0.260263738870321,0.202407345323353,0.302825994579143,0.337407390491441,0.245740788970216,0.172240865252681,0.302339941344697,0.35472913464822,0.0990792470821097,-0.0849349645793367,-0.0662783201070013,0.197335763987311,0.430456311986268,0.2091541655157,0.114997486294296,0.16355650180503,0.324565727047872,0.165099454068699
"RF",0.561754097489324,-0.0687229407698678,-0.0596403668670103,0.0121146727195214,1,0.0391299557007673,0.0322217362080071,-0.0112765593641149,0.0630361131154028,-0.0249631415080017,0.00917245557783665,-0.0242089379006919,-0.0201860561308071,0.00778333508030253,-0.0338563780165419,-0.0357384903691581,-0.0312640163903347,-0.0487514523307552,-0.0566819778907522,-0.0146875947715035,-0.0598635643235306,-0.0336495909489779,-0.0522097596660469,-0.0295893217196321,-0.0239555420149992,0.026695796929574,0.0343554263883507,-0.0114507285500219,-0.0515958973285077,-0.024349325178509,-0.0178548101334925,-0.0128789764414089,-0.0091245976663464,-0.0229616914881093,-0.0116480781402118,-0.0356736786856624
"Mom",0.0198242757809484,-0.338343277478529,-0.164023171631618,-0.400634816026086,0.0391299557007673,1,-0.280289357631006,-0.200076560374652,-0.219165062282111,-0.356992161038247,-0.306398925848136,-0.199683387657047,-0.360482494864576,-0.225778082672666,-0.301203132364451,-0.371136626023355,-0.323221209910766,-0.39445945392653,-0.372351868240147,-0.324622932110446,-0.389308052514137,-0.343813839041614,-0.271213623765877,-0.137087501939611,-0.249882606532393,-0.331665226855281,-0.29387445145466,-0.0924662620493766,-0.228393841236577,-0.30017387408528,-0.4231532547842,-0.26037921100186,-0.309388329305491,-0.250812674776151,-0.420420611581355,-0.290321461147448
"Food",0.0321412131126531,0.835924222946592,0.201697904570862,0.21513164821266,0.0322217362080071,-0.280289357631006,1,0.705153594511707,0.670554562431106,0.719048511162851,0.756655805682046,0.788073931619005,0.714749976948924,0.784460184958314,0.749086565073053,0.719604978649731,0.796303932819724,0.655519505252606,0.738212761867629,0.760991122173132,0.681845608431968,0.70765227663089,0.554158944181509,0.376554152831157,0.620409355229255,0.714010935240266,0.651822884998129,0.402551353112597,0.629849693722152,0.759878535691424,0.718959366490772,0.702854361367376,0.812513596252025,0.71643584338851,0.82209511915518,0.729380753367273
"Beer",-0.0107854035553263,0.707673357377563,0.351039316255635,0.214981922431184,-0.0112765593641149,-0.200076560374652,0.705153594511707,1,0.448606091034771,0.677277814392775,0.622057959379771,0.660952687617466,0.612181325695575,0.644274398420348,0.639946897371119,0.683985893640953,0.71893835338919,0.568911374969034,0.653429832501497,0.634189484008123,0.591363228403702,0.63089756336755,0.505533316821574,0.35783091094745,0.521131894064938,0.580964921009411,0.510662697571324,0.346564924098734,0.54277039853101,0.63356402186184,0.620306437450677,0.688611544779955,0.656185992381556,0.62451096894707,0.690495821035436,0.637160782447858
"Smoke",0.0538279246628883,0.584268028782634,0.103153552441671,0.171808846969415,0.0630361131154028,-0.219165062282111,0.670554562431106,0.448606091034771,1,0.506303673395358,0.502044733813888,0.543474549054621,0.493648243506306,0.57247714669315,0.517167276436288,0.477008279461822,0.563279507476444,0.469353830503402,0.507953735616794,0.521454447056264,0.489257749000875,0.492218476478209,0.407541238159604,0.278828529043726,0.437180271986135,0.514695139476167,0.451984149876109,0.287746686686396,0.441467160367546,0.544969879050663,0.494311953563668,0.502162249857754,0.540320691608983,0.488694124469869,0.566983257515801,0.539241230687578
"Games",0.00904758593432747,0.830211284364742,0.412089411173735,0.250386910086269,-0.0249631415080017,-0.356992161038247,0.719048511162851,0.677277814392775,0.506303673395358,1,0.738285969265035,0.691324152010648,0.723337776427012,0.69206289046726,0.71683402757874,0.764034537605968,0.800011219491437,0.72574219252604,0.783019964877086,0.76837168851677,0.719430848481557,0.722498374579348,0.609641062906219,0.392431691231199,0.581908131386927,0.635477994246939,0.618315164830247,0.412908671515917,0.717103496641386,0.707823574621494,0.752310043132941,0.75352395123905,0.759140429200803,0.728224126145906,0.805524540207253,0.774478029358148
